q_id,answer
12,"Если вы не можете войти в Альфа Онлайн по номеру телефона, попробуйте войти по логину и паролю или воспользуйтесь быстрым входом. Если проблема persists, свяжитесь с нашими специалистами по поддержке по номеру телефона +7 495 788 88 78."
13,"Если вы заказали кредитную карту и одобрен, но не получаете SMS с информацией о том, когда и где вы можете получить карту, рекомендуем обратиться в службу поддержки Альфа-Банка по номеру +7 495 788 88 78 для Москвы или 8 800 200 00 00 для регионов. Они помогут решить проблему и обеспечат доставку карты в удобное для вас место и время."
14,"Вы можете получить номер расчётного счёта несколькими способами:

1. Посмотреть в договоре банковского обслуживания, в частности в разделе ""Реквизиты"".
2. Посмотреть в личном кабинете банка.
3. Уточнить в техподдержке банка.
4. Обратиться в банковское отделение и попросить сотрудника сформировать новое платёжное поручение на основании полного наименования компании.
5. Использовать программу для ведения бухгалтерии, если в ней сохранились данные о контрагенте.
6. Проверить сайт фирмы, если"
15,Информации недостаточно.
16,"Чтобы узнать, куда списался платеж, войдите в свой аккаунт в мобильном приложении Альфа-Банка или Альфа-Онлайн. Перейдите в раздел ""Платежи"" и найдите последнюю транзакцию по пополнению. Там вы увидите, куда была направлена эта сумма."
17,"Если вы не можете связаться с представителем бизнеса напрямую, чтобы уточнить его реквизиты, существует несколько источников, где можно найти сведения о расчётном счёте в банке:

- Учредительная документация организации (устав, учредительный договор, свидетельство ИНН).
- Договоры и соглашения (если работа с фирмой уже осуществлялась ранее).
- Платёжные поручения и квитанции (формируются при отправке перевода и содержат данные о счёте).
- Сайт фирмы (раздел ""Контакты"" или ""Реквизиты"", если"
18,"Для просмотра всех ваших счетов воспользуйтесь одним из двух способов:

1. На главной странице интернет-банка в блоке ""Счета"" нажмите на кнопку ""Все счета"".
2. Перейдите в левом боковом меню в раздел ""Счета""."
19,"Деньги, которые пришли на вашу карту, находятся в состоянии «холда» (HOLD), которое является временным «замораживанием» денег. Это означает, что вы не можете потратить их, но они все еще находятся на счете. Этот процесс обычно занимает до 9 дней, в редких случаях до 45 дней."
20,Информации недостаточно.
21,"Из приведенного контекста не ясно, почему вам не приходят SMS. Однако в разделе ""Порядок подключения/отключения доставки уведомлений через Сервис обмена мгновенными сообщениями"" говорится, что если вы выключили уведомления через Сервис обмена мгновенными сообщениями на уровне настроек операционной системы вашего Мобильного устройства, то уведомления будут отправляться только в виде SMS-сообщений на ваш номер телефона сотовой связи."
22,Информации недостаточно.
23,Информации недостаточно.
24,Информации недостаточно.
25,"Если вас не принимают в банк по записанному времени, рекомендуем вам позвонить в банк и уточнить причину задержки. Возможно, причина заключается в непредвиденных обстоятельствах или просто переполненность банком. В любом случае, вы можете попробовать снова записаться на прием или найти альтернативное решение."
26,"Вы можете узнать свой БИК в личном кабинете банка или в мобильном приложении. Если вы не знаете, как это сделать, вы можете обратиться в горячую линию банка или в офис банка."
27,Кэшбэк начисляется до 10-го числа следующего месяца.
28,"Данная операция по картам считается покупкой, поскольку она относится к расходной операции по карте клиента или третьего лица к счёту клиента на покупку товаров или услуг в России и за границей. 

Однако, как указано в условиях, покупки с МСС-кодами 4812, 4813, 4814, 4816, 7372, 5968, 7311, 5968, 7511, 7399 и другие перечисленные выше не учитываются. 

Если вы не видите списание и пополнение карты за покупку в магазине Zolla в истории, возможно это связано с"
29,"Вы видели в мобильном приложении именно холды по операциям за 27 и 28 сентября. Это значит, что деньги были заблокированы на эти периоды времени. Холд является временным ""замораживанием"" денег, которое позволяет банку подтвердить операцию и избежать двойного списания или несанкционированного использования средств. После подтверждения операции и списания денег на ваш счет, холд будет снят, и вы сможете использовать свои средства."
30,Выключены Push-уведомления на уровне настроек операционной системы вашего Мобильного устройства или выключены уведомления через Сервис обмена мгновенными сообщениями. В этом случае Банк оставляет за собой право направлять уведомления вам в виде SMS-сообщений на номер телефона сотовой связи.
31,"Да, вы можете оформить кредит в Альфа-Банке, который будет моментально зачислен на вашу карту."
32,Информации недостаточно.
33,"Уведомление было отправлено в виде SMS-сообщения, но оно не доставилось вам. Это может произойти в случае, если на вашем телефоне выключены SMS-уведомления или они заблокированы на уровне операционной системы. В этом случае банк оставляет за собой право направлять уведомления в виде SMS-сообщений или Push-уведомлений."
34,"Чтобы узнать номер счета для получения зарплаты, обратитесь в отделение банка или воспользуйтесь онлайн-сервисом банка. В личном кабинете или мобильном приложении банка вы сможете найти необходимую информацию. Alternatively, вы можете обратиться в техподдержку банка или посмотреть в договоре банковского обслуживания раздел ""Реквизиты и подписи сторон""."
35,Обращение непосредственно в организацию - надёжный способ узнать банковские реквизиты. Для этого нужно отправить официальный запрос в компанию. В ответ придут актуальные данные о бизнесе на фирменном бланке.
36,"Вы можете найти свою заявку в разделе ""Активные"" на вкладке ""Заявки""."
37,Информации недостаточно.
38,"Вы можете посмотреть расчетный счет в разделе ""Счета"" в левом боковом меню интернет-банка. Там вы найдете список всех ваших счетов, включая расчетный счет, и сможете открыть или закрыть его, скачать список счетов в формате Excel и оборотно-сальдовую ведомость, сформировать выписку по счету и т.д."
39,"Вы можете отключить платные SMS-уведомления на своей дебетовой Альфа карте, как описано в сообщении банка. Для этого необходимо зайти в интернет-банк ""Альфа-Клик"", мобильное приложение ""Альфа-Мобайл"" или любое отделение банка и оформить заявку на отключение услуги ""Альфа-чек""."
40,"Пожалуйста, подождите несколько минут после окончания расчета процентов. В истории будут появляться все сделанные платежи."
41,Кэшбэк не начисляется при оплате по QR-коду.
42,"Чтобы найти БИК банка, вы можете использовать следующие способы:

1. Проверьте реквизиты банка в личном кабинете или в мобильном приложении банка.
2. Обратитесь в отделение банка и попросите сотрудников предоставить вам информацию о БИК.
3. Используйте онлайн-сервисы, которые предлагают возможность проверки БИК банка, такие как сервисы проверки IBAN.
4. Проверьте сайт банка и найдите раздел ""О банке"" или ""Контакты"", где часто указан БИК.

Также стоит отметить, что Б"
43,Информации недостаточно.
44,Вы видели в мобильном приложении именно холды по операциям за 27 и 28 сентября.
45,Информации недостаточно.
46,"Если у вас нет денег на кредитке, вы можете пополнить ее через Альфа-Онлайн или Альфа-Мобайл, либо воспользоваться другими способами, перечисленными в разделе ""Пополнение""."
47,"Вы можете отслеживать готовность карты в мобильном приложении или через ссылку, которую мы отправили вам в SMS или пуш-уведомлении. Если вы все равно не видите свою карту, рекомендуем связаться с нашим контактным центром по номеру +7 495 78-888-78 для Москвы и МО, или 8 800 200-00-00 для регионов. Мы поможем решить проблему."
48,"Чтобы узнать, привязана ли карта к вашему номеру телефона, вы можете:

1. Проверьте статус карты в интернет-банке ""Альфа-Клик"" или в мобильном приложении Альфа-Банка.
2. Нажмите на карту и выберите ""Реквизиты"". Если карта привязана к вашему номеру телефона, то в разделе ""Реквизиты"" будет указан ваш номер телефона.
3. Вы можете также позвонить на горячую линию Альфа-Банка и задать вопрос о привязке карты к вашему номеру телефона."
49,Информации недостаточно.
50,"Кредитный счёт представляет собой отдельный счет, открытый в банке для хранения и управления кредитными средствами. Это отдельный счет от основного текущего счета, и на нем хранятся кредитные средства, которые клиент получает в виде кредита или кредитной линии."
